Hunter 170 no spi,HTR170,92.7
Hurricane C/B,HURI,100
Illusion 12 (12'),ILU12,116.4
Inland 20 Scow,I20-SC,83.4
Inland Cat,INCT,106.4
Inland Sloop,INSL,120
Interdane 404,INTD,103
Interlake,INT,89.1
Invitation,INVT,99.4
Islands 15,ISD15,99.2
Islands 17,ISD17,98.4
"""J Sailer (Johnson- 16')",J-SC,93.5
Javelin,JAV,111.3
Javelin (Australian),JAV-2,100.5
Jester 12,JES12,115
Jester 16,JES16,102.2
Jester 8,JES8,125.6
Jet 14,JT14,97.2
Jetwind,JTWN,109.2
Johnson 18 spi,JHN18,86.4
Jollyboat,JB,86.8
JY 15,JY15,91.9
"""JY Xcite Trainer 9'11""""",JY-T,135
Kelpie 15,KLP15,125
Kenn 11,KN11,111.1
Kestrel,KL,91.6
Kite,KITE,100.9
Knockabout 18 (Cape Cod),KNOC,95
Kolibri,KOLI,122.1
Koralle 15,KRL15,112
Koralle Jr,KRL12,120.3
Korsar,KO,87
La Cometa,LACO,114
"""Lark (13'4"""")",LRK,93.6
Lark 10,LRK10,125.4
Larson Regatta (16'),LAR16,102.8
Laser (Int.),LASE,91.1
Laser 13,LAS13,90.6
Laser 2000,LAS2000,92.5
Laser 3000,LAS3000,83.3
Laser 4.7 (Int.),LAS4.7,95.4
Laser 4000,LAS4000,80.7
Laser 5000,LAS5000,77.9
"""Laser II (Int. w/Trap & Spi)",LASE2,92.8
Laser Pico Uno,LASPCU,104.6
Laser Radial/Laser M,LASEM,96.7
Laser Stratos no trap,LASST,87.3
Laser Vortex,LASVT,86.8
Lazy E,LZE,91.7
Lido 14,LD14,98.9
Lightning (Int.),LI,87
Lone Star 13,LS13,109.5
Lone Star 16 (SA=145),LS16,116.1
Lone Star 16 (SA=165),LS162,110.6
Luger 16 Leeward,LGR16L,112.3
M Scow (M-16 Scow),M-SC,89.3
M-20 Scow,M-20,83.5
Mac Dinghy,MACD,121.2
Mach II,MACH,110
Malard,MLD12,104.5
Man O'War,MWR,99.4
Manta,MAN,103
Marauder,MDR,103
Mariner 17,Mar17,105
Marlin 14,MRL14,103.3
Martin 14,MTN14,100
Martin 16,MTN16,99
Max,MAX,110.5
Mayflower,MAY,123.6
MC Scow,MC-SC,87.8
Megabyte,MBYT,90.8
Melges 17 Scow spi,M-17,79
Melonseed Skiff,MSED,110
Merlin Rocket,MLNR,87.1
Merrimac,MERI,108.9
Meteor,MET,116
Microtoner (Brazil),MTON,88
Millimeter (12'6),MM-12,114.9
Mini-Scow (Johnson),MN-SC,110
Minifish (Alcort),MFSH,113.4
Minifish Mk II,MFSH-2,103
Mirror 16,MRR16,95.8
"""Mirror Dinghy (10'10"""")",MRRDY,113.1
Missile,MI,98.1
Mistral 16 (Sloop),MST16,94.8
Mistral 16 Slp w/Trap,MST16T,94
Mistral 4.04,MST4.0,102
Mobjack,MJ,91.3
Monk,MONK,100
Montgomery 10,MON10,133
Montgomery 12,MON12,110
Montgomery 15,MON15,108.2
Montgomery 7-11,MON8,134
Moth,MO,107.1
Mustang 17,MUS17,102.9
Musto Skiff,MUST,80
Mutineer 15' (SWN15),MUTR,96
MX Ray,MXRAY,90.5
Narrasketuck,NRS,89.7
National 10,N-10,123.5
National 12,N-12,98
National One Design,N1D,96.3
Neptune 14,NEP14,107.4
Neptune 16,NEP16,106
Newport 16,NPT16,103.5
Nipper,NIP,112.9
Nomad spi (Vanguard),NMD17,93.5
O'Day 12,ODY12,117.3
O'Day 15,ODY15,95.8
OK Dinghy (Int.),OK,96.5
Olympic Monotype(O-Jolle,OJOL,93.1
Omega (14'),OMG,110.6
One-Design 14 (Gr.Prix),OD14G,86.8
